country,date,cases
Chile,03/10/20,25
Chile,03/11/20,35
Chile,03/12/20,35
Chile,03/13/20,55
Chile,03/14/20,88
Chile,03/15/20,101
Chile,03/16/20,182
Chile,03/17/20,228
Chile,03/18/20,265
Chile,03/19/20,265
Chile,03/20/20,461
Chile,03/21/20,592
Chile,03/22/20,687
Chile,03/23/20,801
Chile,03/24/20,977
Chile,03/25/20,1197
Chile,03/26/20,1361
Chile,03/27/20,1665
Chile,03/28/20,2015
Chile,03/29/20,2245
Chile,03/30/20,2555
Chile,03/31/20,2844
Chile,04/01/20,3137
Chile,04/02/20,3510
Chile,04/03/20,3843
Chile,04/04/20,4355
Chile,04/05/20,4665
Chile,04/06/20,5009
Chile,04/07/20,5310
Chile,04/08/20,5740
Chile,04/09/20,6166
Chile,04/10/20,6695
Chile,04/11/20,7366
Chile,04/12/20,7652
Chile,04/13/20,7964
Chile,04/14/20,8356
Chile,04/15/20,8712
Chile,04/16/20,9246
Chile,04/17/20,9691
Chile,04/18/20,10598
Chile,04/19/20,10956
Chile,04/20/20,11375
Chile,04/21/20,11700
Chile,04/22/20,12164
Chile,04/23/20,12680
Chile,04/24/20,13174
Chile,04/25/20,14537
Chile,04/26/20,15010
Chile,04/27/20,15492
Chile,04/28/20,16044
Chile,04/29/20,16564
Chile,04/30/20,17702
Chile,05/01/20,18687
Chile,05/02/20,21213
Chile,05/03/20,22441
Chile,05/04/20,23421
Chile,05/05/20,24794
Chile,05/06/20,25826
Chile,05/07/20,27359
Chile,05/08/20,28750
Chile,05/09/20,32208
Chile,05/10/20,33855
Chile,05/11/20,35052
Chile,05/12/20,36710
Chile,05/13/20,39370
Chile,05/14/20,42029
Chile,05/15/20,44531
Chile,05/16/20,50016
Chile,05/17/20,52369
Chile,05/18/20,54647
Chile,05/19/20,58167
Chile,05/20/20,62205
Chile,05/21/20,66169
Chile,05/22/20,70445
Chile,05/23/20,80287
Chile,05/24/20,83996
Chile,05/25/20,88891
Chile,05/26/20,92855
Chile,05/27/20,97183
Chile,05/28/20,101837
Chile,05/29/20,105532
Chile,05/30/20,118720
Chile,05/31/20,123550
Chile,06/01/20,129020
Chile,06/02/20,132548
Chile,06/03/20,137490
Chile,06/04/20,142154
Chile,06/05/20,146361
Chile,06/06/20,160351
Chile,06/07/20,166756
Chile,06/08/20,171452
Chile,06/09/20,175365
Chile,06/10/20,181062
Chile,06/11/20,186698
Chile,06/12/20,193452
Chile,06/13/20,201634
Chile,06/14/20,208572
Chile,06/15/20,213715
Chile,06/16/20,218728
Chile,06/17/20,220628
Chile,06/18/20,225103
Chile,06/19/20,231393
Chile,06/20/20,236748
Chile,06/21/20,242355
Chile,06/22/20,246963
Chile,06/23/20,250767
Chile,06/24/20,254416
Chile,06/25/20,259064
Chile,06/26/20,263360
Chile,06/27/20,267766
Chile,06/28/20,271982
Chile,06/29/20,275999
Chile,06/30/20,279393
Chile,07/01/20,282043
Chile,07/02/20,284541
Chile,07/03/20,288089
Chile,07/04/20,291847
Chile,07/05/20,295532
Chile,07/06/20,298557
Chile,07/07/20,301019
Chile,07/08/20,303083
Chile,07/09/20,306216
Chile,07/10/20,309274
Chile,07/11/20,312029
Chile,07/12/20,315041
Chile,07/13/20,317657
Chile,07/14/20,319493
Chile,07/15/20,321205
Chile,07/16/20,323698
Chile,07/17/20,326439
Chile,07/18/20,328846
